Doc0 tragedy of romeo and juliet
Doc1 by william shakespeare
Doc2 dramatis personae
Doc3   chorus
Doc1443     what says he of our marriage? what of that?
Doc1444   nurse lord how my head aches what a head have i
Doc1445     it beats as it would fall in twenty pieces
Doc1446     my back o t other side  ah my back my back
Doc1447     beshrew your heart for sending me about
Doc1448     to catch my death with jauncing up and down
Doc1449   jul i faith i am sorry that thou art not well
Doc1450     sweet sweet sweet nurse tell me what says my love?
Doc1451   nurse your love says like an honest gentleman and a courteous
Doc1452     and a kind and a handsome and i warrant a virtuous  where
Doc1453     is your mother?
Doc1454   jul where is my mother? why she is within
Doc1455     where should she be? how oddly thou repliest
Doc1456     your love says like an honest gentleman
Doc1457     "where is your mother?"
Doc1458   nurse o gods lady dear
Doc1459     are you so hot? marry come up i trow
Doc1460     is this the poultice for my aching bones?
Doc1461     henceforward do your messages yourself
Doc1462   jul heres such a coil come what says romeo?
Doc1463   nurse have you got leave to go to shrift to day?
Doc1464   jul i have
Doc1465   nurse then hie you hence to friar laurence cell
Doc1466     there stays a husband to make you a wife
Doc1467     now comes the wanton blood up in your cheeks
Doc1468     theyll be in scarlet straight at any news
Doc1469     hie you to church i must another way
Doc1470     to fetch a ladder by the which your love
Doc1471     must climb a birds nest soon when it is dark
Doc1472     i am the drudge and toil in your delight
Doc1473     but you shall bear the burthen soon at night
Doc1474     go ill to dinner hie you to the cell
Doc1475   jul hie to high fortune honest nurse farewell
Doc1476                                                          exeunt
Doc1477 scene vi
Doc1478 friar laurences cell
Doc1479 enter friar [laurence] and romeo
Doc1480   friar so smile the heavens upon this holy act
Doc1481     that after hours with sorrow chide us not
Doc1482   rom amen amen but come what sorrow can
Doc1483     it cannot countervail the exchange of joy
Doc1484     that one short minute gives me in her sight
Doc1485     do thou but close our hands with holy words
Doc1486     then love devouring death do what he dare 
Doc1487     it is enough i may but call her mine
Doc1488   friar these violent delights have violent ends
Doc1489     and in their triumph die like fire and powder
Doc1490     which as they kiss consume the sweetest honey
Doc1491     is loathsome in his own deliciousness
Doc1492     and in the taste confounds the appetite
Doc1493     therefore love moderately long love doth so
Doc1494     too swift arrives as tardy as too slow
Doc1495                      enter juliet
Doc1496     here comes the lady o so light a foot
Doc1497     will neer wear out the everlasting flint
Doc1498     a lover may bestride the gossamer
Doc1499     that idles in the wanton summer air
Doc1500     and yet not fall so light is vanity
Doc1501   jul good even to my ghostly confessor
Doc1502   friar romeo shall thank thee daughter for us both
Doc1503   jul as much to him else is his thanks too much
Doc1504   rom ah juliet if the measure of thy joy
Doc1505     be heapd like mine and that thy skill be more
Doc1506     to blazon it then sweeten with thy breath
Doc1507     this neighbour air and let rich musics tongue
Doc1508     unfold the imagind happiness that both
Doc1509     receive in either by this dear encounter
Doc1510   jul conceit more rich in matter than in words
Doc1511     brags of his substance not of ornament
Doc1512     they are but beggars that can count their worth
Doc1513     but my true love is grown to such excess
Doc1514     cannot sum up sum of half my wealth
Doc1515   friar come come with me and we will make short work
Doc1516     for by your leaves you shall not stay alone
Doc1517     till holy church incorporate two in one
Doc1518                                                        [exeunt]
Doc1519 act iii scene i
Doc1520 a public place
Doc1521 enter mercutio benvolio and men
Doc1522   ben i pray thee good mercutio lets retire
Doc1523     the day is hot the capulets abroad
Doc1524     and if we meet we shall not scape a brawl
Doc1525     for now these hot days is the mad blood stirring
Doc1526   mer thou art like one of these fellows that when he enters
Doc1527     the confines of a tavern claps me his sword upon the table and
Doc1528     says god send me no need of thee and by the operation of the
Doc1529     second cup draws him on the drawer when indeed there is no need
Doc1530   ben am i like such a fellow?
Doc1531   mer come come thou art as hot a jack in thy mood as any in
Doc1532     italy and as soon moved to be moody and as soon moody to be
Doc1533     moved
Doc1534   ben and what to?
Doc1535   mer nay an there were two such we should have none shortly
Doc1536     for one would kill the other thou why thou wilt quarrel with a
Doc1537     man that hath a hair more or a hair less in his beard than thou hast
Doc1538     thou wilt quarrel with a man for cracking nuts having no
Doc1539     other reason but because thou hast hazel eyes what eye but such an
Doc1540     eye would spy out such a quarrel? thy head is as full of quarrels
Doc1541     as an egg is full of meat and yet thy head hath been beaten as
Doc1542     addle as an egg for quarrelling thou hast quarrelld with a
Doc1543     man for coughing in the street because he hath wakened thy dog
Doc1544     that hath lain asleep in the sun didst thou not fall out with a
Doc1545     tailor for wearing his new doublet before easter with
Doc1546     another for tying his new shoes with an old riband? and yet thou wilt
Doc1547     tutor me from quarrelling
Doc1548   ben an i were so apt to quarrel as thou art any man should
Doc1549     buy the fee simple of my life for an hour and a quarter
Doc1550   mer the fee simple? o simple
Doc1551                        enter tybalt and others
Doc1552   ben by my head here come the capulets
Doc1553   mer by my heel i care not
Doc1554   tyb follow me close for i will speak to them
Doc1555     gentlemen good den a word with one of you
Doc1556   mer and but one word with one of us?
Doc1557     couple it with something make it a word and a blow
Doc1558   tyb you shall find me apt enough to that sir an you will give me
Doc1559     occasion
Doc1560   mer could you not take some occasion without giving
Doc1561   tyb mercutio thou consortest with romeo
Doc1562   mer consort? what dost thou make us minstrels? an thou make
Doc1563     minstrels of us look to hear nothing but discords heres my
Doc1564     fiddlestick heres that shall make you dance zounds consort
Doc1565   ben we talk here in the public haunt of men
Doc1566     either withdraw unto some private place
Doc1567     and reason coldly of your grievances
Doc1568     or else depart here all eyes gaze on us
Doc1569   mer mens eyes were made to look and let them gaze
Doc1570     i will not budge for no mans pleasure
Doc1571                         enter romeo
Doc1572   tyb well peace be with you sir here comes my man
Doc1573   mer but ill be hangd sir if he wear your livery
Doc1574     marry go before to field hell be your follower
Doc1575     your worship in that sense may call him man
Doc1576   tyb romeo the love i bear thee can afford
Doc1577     no better term than this thou art a villain
Doc1578   rom tybalt the reason that i have to love thee
Doc1579     doth much excuse the appertaining rage
Doc1580     to such a greeting villain am i none
Doc1581     therefore farewell i see thou knowest me not
Doc1582   tyb boy this shall not excuse the injuries
Doc1583     that thou hast done me therefore turn and draw
Doc1584   rom i do protest i never injurd thee
Doc1585     but love thee better than thou canst devise
Doc1586     till thou shalt know the reason of my love
Doc1587     and so good capulet which name i tender
Doc1588     as dearly as mine own be satisfied
Doc1589   mer o calm dishonourable vile submission
Doc1590     alla stoccata carries it away                      [draws]
Doc1591     tybalt you ratcatcher will you walk?
Doc1592   tyb what wouldst thou have with me?
Doc1593   mer good king of cats nothing but one of your nine lives
Doc1594 that i
Doc1595     mean to make bold withal and as you shall use me hereafter
Doc1596     dry beat the rest of the eight will you pluck your sword out
Doc1597     of his pitcher by the ears? make haste lest mine be about your
Doc1598     ears ere it be out
Doc1599   tyb i am for you                                    [draws]
Doc1600   rom gentle mercutio put thy rapier up
Doc1601   mer come sir your passado
Doc1602                                                    [they fight]
Doc1603   rom draw benvolio beat down their weapons
Doc1604     gentlemen for shame forbear this outrage
Doc1605     tybalt mercutio the prince expressly hath
Doc1606     forbid this bandying in verona streets
Doc1607     hold tybalt good mercutio
Doc1608          tybalt under romeos arm thrusts mercutio in and flies
Doc1609                                            [with his followers]
Doc1610   mer i am hurt
Doc1611     a plague o both your houses i am sped
Doc1612     is he gone and hath nothing?
Doc1613   ben what art thou hurt?
Doc1614   mer ay ay a scratch a scratch marry tis enough
Doc1615     where is my page? go villain fetch a surgeon
Doc1616                                                     [exit page]
Doc1617   rom courage man the hurt cannot be much
Doc1618   mer no tis not so deep as a well nor so wide as a church door
Doc1619     but tis enough twill serve ask for me to morrow and you
Doc1620     shall find me a grave man i am peppered i warrant for this
Doc1621     world a plague o both your houses zounds a dog a rat a
Doc1622     mouse a cat to scratch a man to death a braggart a rogue
Doc1623 a
Doc1624     villain that fights by the book of arithmetic why the devil
Doc1625     came you between us? i was hurt under your arm
Doc1626   rom i thought all for the best
Doc1627   mer help me into some house benvolio
Doc1628     or i shall faint a plague o both your houses
Doc1629     they have made worms meat of me i have it
Doc1630     and soundly too your houses
Doc1631                                  [exit [supported by benvolio]
Doc1632   rom this gentleman the princes near ally
Doc1633     my very friend hath got this mortal hurt
Doc1634     in my behalf  my reputation staind
Doc1635     with tybalts slander  tybalt that an hour
Doc1636     hath been my kinsman o sweet juliet
Doc1637     thy beauty hath made me effeminate
Doc1638     and in my temper softned valours steel
Doc1639                       enter benvolio
Doc1640   ben o romeo romeo brave mercutios dead
Doc1641     that gallant spirit hath aspird the clouds
Doc1642     which too untimely here did scorn the earth
Doc1643   rom this days black fate on moe days doth depend
Doc1644     this but begins the woe others must end
Doc1645                        enter tybalt
Doc1646   ben here comes the furious tybalt back again
Doc1647   rom alive in triumph and mercutio slain?
Doc1648     away to heaven respective lenity
Doc1649     and fire eyd fury be my conduct now
Doc1650     now tybalt take the villain back again
Doc1651     that late thou gavest me for mercutios soul
Doc1652     is but a little way above our heads
Doc1653     staying for thine to keep him company
Doc1654     either thou or i or both must go with him
Doc1655   tyb thou wretched boy that didst consort him here
Doc1656     shalt with him hence
Doc1657   rom this shall determine that
Doc1658                                        they fight tybalt falls
Doc1659   ben romeo away be gone
Doc1660     the citizens are up and tybalt slain
Doc1661     stand not amazd the prince will doom thee death
Doc1662     if thou art taken hence be gone away
Doc1663   rom o i am fortunes fool
Doc1664   ben why dost thou stay?
Doc1665                                                      exit romeo
Doc1666                       enter citizens
Doc1667   citizen which way ran he that killd mercutio?
Doc1668     tybalt that murtherer which way ran he?
Doc1669   ben there lies that tybalt
Doc1670   citizen up sir go with me
Doc1671     i charge thee in the princes name obey
Doc1672   enter prince [attended] old montague capulet their wives
Doc1673                      and [others]
Doc1674   prince where are the vile beginners of this fray?
Doc1675   ben o noble prince i can discover all
Doc1676     the unlucky manage of this fatal brawl
Doc1677     there lies the man slain by young romeo
Doc1678     that slew thy kinsman brave mercutio
Doc1679   cap wife tybalt my cousin o my brothers child
Doc1680     o prince o husband o the blood is spilld
Doc1681     of my dear kinsman prince as thou art true
Doc1682     for blood of ours shed blood of montague
Doc1683     o cousin cousin
Doc1684   prince benvolio who began this bloody fray?
Doc1685   ben tybalt here slain whom romeos hand did stay
Doc1686     romeo that spoke him fair bid him bethink
Doc1687     how nice the quarrel was and urgd withal
Doc1688     your high displeasure all this  uttered
Doc1689     with gentle breath calm look knees humbly bowd 
Doc1690     could not take truce with the unruly spleen
Doc1691     of tybalt deaf to peace but that he tilts
Doc1692     with piercing steel at bold mercutios breast
Doc1693     who all as hot turns deadly point to point
Doc1694     and with a martial scorn with one hand beats
Doc1695     cold death aside and with the other sends
Doc1696     it back to tybalt whose dexterity
Doc1697     retorts it romeo he cries aloud
Doc1698     hold friends friends part and swifter than his tongue
Doc1699     his agile arm beats down their fatal points
Doc1700     and twixt them rushes underneath whose arm
Doc1701     an envious thrust from tybalt hit the life
Doc1702     of stout mercutio and then tybalt fled
Doc1703     but by and by comes back to romeo
Doc1704     who had but newly entertaind revenge
Doc1705     and tot they go like lightning for ere i
Doc1706     could draw to part them was stout tybalt slain
Doc1707     and as he fell did romeo turn and fly
Doc1708     this is the truth or let benvolio die
Doc1709   cap wife he is a kinsman to the montague
Doc1710     affection makes him false he speaks not true
Doc1711     some twenty of them fought in this black strife
Doc1712     and all those twenty could but kill one life
Doc1713     i beg for justice which thou prince must give
Doc1714     romeo slew tybalt romeo must not live
Doc1715   prince romeo slew him he slew mercutio
Doc1716     who now the price of his dear blood doth owe?
Doc1717   mon not romeo prince he was mercutios friend
Doc1718     his fault concludes but what the law should end
Doc1719     the life of tybalt
Doc1720   prince and for that offence
Doc1721     immediately we do exile him hence
Doc1722     i have an interest in your hates proceeding
Doc1723     my blood for your rude brawls doth lie a bleeding
Doc1724     but ill amerce you with so strong a fine
Doc1725     that you shall all repent the loss of mine
Doc1726     i will be deaf to pleading and excuses
Doc1727     nor tears nor prayers shall purchase out abuses
Doc1728     therefore use none let romeo hence in haste
Doc1729     else when he is found that hour is his last
Doc1730     bear hence this body and attend our will
Doc1731     mercy but murders pardoning those that kill
Doc1732                                                          exeunt
Doc1733 scene ii
Doc1734 capulets orchard
Doc1735 enter juliet alone
Doc1736   jul gallop apace you fiery footed steeds
Doc1737     towards phoebus lodging such a wagoner
Doc1738     as phaeton would whip you to the west
Doc1739     and bring in cloudy night immediately
Doc1740     spread thy close curtain love performing night
Doc1741     that runaway eyes may wink and romeo
Doc1742     leap to these arms untalkd of and unseen
Doc1743     lovers can see to do their amorous rites
Doc1744     by their own beauties or if love be blind
Doc1745     it best agrees with night come civil night
Doc1746     thou sober suited matron all in black
Doc1747     and learn me how to lose a winning match
Doc1748     playd for a pair of stainless maidenhoods
Doc1749     hood my unmannd blood bating in my cheeks
Doc1750     with thy black mantle till strange love grown bold
Doc1751     think true love acted simple modesty
Doc1752     come night come romeo come thou day in night
Doc1753     for thou wilt lie upon the wings of night
Doc1754     whiter than new snow upon a ravens back
Doc1755     come gentle night come loving black browd night
Doc1756     give me my romeo and when he shall die
Doc1757     take him and cut him out in little stars
Doc1758     and he will make the face of heaven so fine
Doc1759     that all the world will be in love with night
Doc1760     and pay no worship to the garish sun
Doc1761     o i have bought the mansion of a love
Doc1762     but not possessd it and though i am sold
Doc1763     not yet enjoyd so tedious is this day
Doc1764     as is the night before some festival
Doc1765     to an impatient child that hath new robes
Doc1766     and may not wear them o here comes my nurse
Doc1767                 enter nurse with cords
Doc1768     and she brings news and every tongue that speaks
Doc1769     but romeos name speaks heavenly eloquence
Doc1770     now nurse what news? what hast thou there? the cords
Doc1771     that romeo bid thee fetch?
Doc1772   nurse ay ay the cords
Doc1773                                              [throws them down]
Doc1774   jul ay me what news? why dost thou wring thy hands
Doc1775   nurse ah weraday hes dead hes dead hes dead
Doc1776     we are undone lady we are undone
Doc1777     alack the day hes gone hes killd hes dead
Doc1778   jul can heaven be so envious?
Doc1779   nurse romeo can
Doc1780     though heaven cannot o romeo romeo
Doc1781     who ever would have thought it? romeo
Doc1782   jul what devil art thou that dost torment me thus?
Doc1783     this torture should be roard in dismal hell
Doc1784     hath romeo slain himself? say thou but i
Doc1785     and that bare vowel i shall poison more
Doc1786     than the death darting eye of cockatrice
Doc1787     i am not i if there be such an i
Doc1788     or those eyes shut that make thee answer i
Doc1789     if be be slain say i or if not no
Doc1790     brief sounds determine of my weal or woe
Doc1791   nurse i saw the wound i saw it with mine eyes
Doc1792     (god save the mark) here on his manly breast
Doc1793     a piteous corse a bloody piteous corse
Doc1794     pale pale as ashes all bedaubd in blood
Doc1795     all in gore blood i swounded at the sight
Doc1796   jul o break my heart poor bankrout break at once
Doc1797     to prison eyes neer look on liberty
Doc1798     vile earth to earth resign end motion here
Doc1799     and thou and romeo press one heavy bier
Doc1800   nurse o tybalt tybalt the best friend i had
Doc1801     o courteous tybalt honest gentleman
Doc1802     that ever i should live to see thee dead
Doc1803   jul what storm is this that blows so contrary?
Doc1804     is romeo slaughtred and is tybalt dead?
Doc1805     my dear lovd cousin and my dearer lord?
Doc1806     then dreadful trumpet sound the general doom
Doc1807     for who is living if those two are gone?
Doc1808   nurse tybalt is gone and romeo banished
Doc1809     romeo that killd him he is banished
Doc1810   jul o god did romeos hand shed tybalts blood?
Doc1811   nurse it did it did alas the day it did
Doc1812   jul o serpent heart hid with a flowring face
Doc1813     did ever dragon keep so fair a cave?
Doc1814     beautiful tyrant fiend angelical
Doc1815     dove featherd raven wolvish ravening lamb
Doc1816     despised substance of divinest show
Doc1817     just opposite to what thou justly seemst 
Doc1818     a damned saint an honourable villain
Doc1819     o nature what hadst thou to do in hell
Doc1820     when thou didst bower the spirit of a fiend
Doc1821     in mortal paradise of such sweet flesh?
Doc1822     was ever book containing such vile matter
Doc1823     so fairly bound? o that deceit should dwell
Doc1824     in such a gorgeous palace
Doc1825   nurse theres no trust
Doc1826     no faith no honesty in men all perjurd
Doc1827     all forsworn all naught all dissemblers
Doc1828     ah wheres my man? give me some aqua vitae
Doc1829     these griefs these woes these sorrows make me old
Doc1830     shame come to romeo
Doc1831   jul blisterd be thy tongue
Doc1832     for such a wish he was not born to shame
Doc1833     upon his brow shame is ashamd to sit
Doc1834     for tis a throne where honour may be crownd
Doc1835     sole monarch of the universal earth
Doc1836     o what a beast was i to chide at him
Doc1837   nurse will you speak well of him that killd your cousin?
Doc1838   jul shall i speak ill of him that is my husband?
Doc1839     ah poor my lord what tongue shall smooth thy name
Doc1840     when i thy three hours wife have mangled it?
Doc1841     but wherefore villain didst thou kill my cousin?
Doc1842     that villain cousin would have killd my husband
Doc1843     back foolish tears back to your native spring
Doc1844     your tributary drops belong to woe
Doc1845     which you mistaking offer up to joy
Doc1846     my husband lives that tybalt would have slain
Doc1847     and tybalts dead that would have slain my husband
Doc1848     all this is comfort wherefore weep i then?
Doc1849     some word there was worser than tybalts death
Doc1850     that murdred me i would forget it fain
Doc1851     but o it presses to my memory
Doc1852     like damned guilty deeds to sinners minds
Doc1853     tybalt is dead and romeo  banished
Doc1854     that banished that one word banished
Doc1855     hath slain ten thousand tybalts tybalts death
Doc1856     was woe enough if it had ended there
Doc1857     or if sour woe delights in fellowship
Doc1858     and needly will be rankd with other griefs
Doc1859     why followed not when she said tybalts dead
Doc1860     thy father or thy mother nay or both
Doc1861     which modern lamentation might have movd?
Doc1862     but with a rearward following tybalts death
Doc1863     romeo is banished  to speak that word
Doc1864     is father mother tybalt romeo juliet
Doc1865     all slain all dead romeo is banished 
Doc1866     there is no end no limit measure bound
Doc1867     in that words death no words can that woe sound
Doc1868     where is my father and my mother nurse?
Doc1869   nurse weeping and wailing over tybalts corse
Doc1870     will you go to them? i will bring you thither
Doc1871   jul wash they his wounds with tears? mine shall be spent
Doc1872     when theirs are dry for romeos banishment
Doc1873     take up those cords poor ropes you are beguild
Doc1874     both you and i for romeo is exild
Doc1875     he made you for a highway to my bed
Doc1876     but i a maid die maiden widowed
Doc1877     come cords come nurse ill to my wedding bed
Doc1878     and death not romeo take my maidenhead
Doc1879   nurse hie to your chamber ill find romeo
Doc1880     to comfort you i wot well where he is
Doc1881     hark ye your romeo will be here at night
Doc1882     ill to him he is hid at laurence cell
Doc1883   jul o find him give this ring to my true knight
Doc1884     and bid him come to take his last farewell
Doc1885                                                          exeunt
Doc1886 scene iii
Doc1887 friar laurences cell
Doc1888 enter friar [laurence]
Doc1889   friar romeo come forth come forth thou fearful man
Doc1890     affliction is enanmourd of thy parts
Doc1891     and thou art wedded to calamity
Doc1892                          enter romeo
Doc1893   rom father what news? what is the princes doom
Doc1894     what sorrow craves acquaintance at my hand
Doc1895     that i yet know not?
Doc1896   friar too familiar
Doc1897     is my dear son with such sour company
Doc1898     i bring thee tidings of the princes doom
Doc1899   rom what less than doomsday is the princes doom?
Doc1900   friar a gentler judgment vanishd from his lips 
Doc1901     not bodys death but bodys banishment
Doc1902   rom ha banishment? be merciful say death
Doc1903     for exile hath more terror in his look
Doc1904     much more than death do not say banishment
Doc1905   friar hence from verona art thou banished
Doc1906     be patient for the world is broad and wide
Doc1907   rom there is no world without verona walls
Doc1908     but purgatory torture hell itself
Doc1909     hence banished is banishd from the world
Doc1910     and worlds exile is death then banishment
Doc1911     is death mistermd calling death banishment
Doc1912     thou cutst my head off with a golden axe
Doc1913     and smilest upon the stroke that murders me
Doc1914   friar o deadly sin o rude unthankfulness
Doc1915     thy fault our law calls death but the kind prince
Doc1916     taking thy part hath rushd aside the law
Doc1917     and turnd that black word death to banishment
Doc1918     this is dear mercy and thou seest it not
Doc1919   rom tis torture and not mercy heaven is here
Doc1920     where juliet lives and every cat and dog
Doc1921     and little mouse every unworthy thing
Doc1922     live here in heaven and may look on her
Doc1923     but romeo may not more validity
Doc1924     more honourable state more courtship lives
Doc1925     in carrion flies than romeo they may seize
Doc1926     on the white wonder of dear juliets hand
Doc1927     and steal immortal blessing from her lips
Doc1928     who even in pure and vestal modesty
Doc1929     still blush as thinking their own kisses sin
Doc1930     but romeo may not  he is banished
Doc1931     this may flies do when i from this must fly
Doc1932     they are free men but i am banished
Doc1933     and sayest thou yet that exile is not death?
Doc1934     hadst thou no poison mixd no sharp ground knife
Doc1935     no sudden mean of death though neer so mean
Doc1936     but banished to kill me  banished?
Doc1937     o friar the damned use that word in hell
Doc1938     howling attends it how hast thou the heart
Doc1939     being a divine a ghostly confessor
Doc1940     a sin absolver and my friend professd
Doc1941     to mangle me with that word banished?
Doc1942   friar thou fond mad man hear me a little speak
Doc1943   rom o thou wilt speak again of banishment
Doc1944   friar ill give thee armour to keep off that word
Doc1945     adversitys sweet milk philosophy
Doc1946     to comfort thee though thou art banished
Doc1947   rom yet banished? hang up philosophy
Doc1948     unless philosophy can make a juliet
Doc1949     displant a town reverse a princes doom
Doc1950     it helps not it prevails not talk no more
Doc1951   friar o then i see that madmen have no ears
Doc1952   rom how should they when that wise men have no eyes?
Doc1953   friar let me dispute with thee of thy estate
Doc1954   rom thou canst not speak of that thou dost not feel
Doc1955     wert thou as young as i juliet thy love
Doc1956     an hour but married tybalt murdered
Doc1957     doting like me and like me banished
Doc1958     then mightst thou speak then mightst thou tear thy hair
Doc1959     and fall upon the ground as i do now
Doc1960     taking the measure of an unmade grave
Doc1961                                                  knock [within]
Doc1962   friar arise one knocks good romeo hide thyself
Doc1963   rom not i unless the breath of heartsick groans
Doc1964     mist like infold me from the search of eyes          knock
Doc1965   friar hark how they knock whos there? romeo arise
Doc1966     thou wilt be taken  stay awhile  stand up          knock
Doc1967     run to my study  by and by  gods will
Doc1968     what simpleness is this  i come i come             knock
Doc1969     who knocks so hard? whence come you? whats your will
Doc1970   nurse [within] let me come in and you shall know my errand
Doc1971     i come from lady juliet
Doc1972   friar welcome then
Doc1973                        enter nurse
Doc1974   nurse o holy friar o tell me holy friar
Doc1975     where is my ladys lord wheres romeo?
Doc1976   friar there on the ground with his own tears made drunk
Doc1977   nurse o he is even in my mistress case
Doc1978     just in her case
Doc1979   friar o woeful sympathy
Doc1980     piteous predicament
Doc1981   nurse even so lies she
Doc1982     blubbring and weeping weeping and blubbering
Doc1983     stand up stand up stand an you be a man
Doc1984     for juliets sake for her sake rise and stand
Doc1985     why should you fall into so deep an o?
Doc1986   rom (rises) nurse 
Doc1987   nurse ah sir ah sir well deaths the end of all
Doc1988   rom spakest thou of juliet? how is it with her?
Doc1989     doth not she think me an old murtherer
Doc1990     now i have staind the childhood of our joy
Doc1991     with blood removd but little from her own?
Doc1992     where is she? and how doth she and what says
Doc1993     my conceald lady to our cancelld love?
Doc1994   nurse o she says nothing sir but weeps and weeps
Doc1995     and now falls on her bed and then starts up
Doc1996     and tybalt calls and then on romeo cries
Doc1997     and then down falls again
Doc1998   rom as if that name
Doc1999     shot from the deadly level of a gun
Doc2000     did murther her as that names cursed hand
Doc2001     murderd her kinsman o tell me friar tell me
Doc2002     in what vile part of this anatomy
Doc2003     doth my name lodge? tell me that i may sack
Doc2004     the hateful mansion                     [draws his dagger]
Doc2005   friar hold thy desperate hand
Doc2006     art thou a man? thy form cries out thou art
Doc2007     thy tears are womanish thy wild acts denote
Doc2008     the unreasonable fury of a beast
Doc2009     unseemly woman in a seeming man
Doc2010     or ill beseeming beast in seeming both
Doc2011     thou hast amazd me by my holy order
Doc2012     i thought thy disposition better temperd
Doc2013     hast thou slain tybalt? wilt thou slay thyself?
Doc2014     and slay thy lady that in thy life lives
Doc2015     by doing damned hate upon thyself?
Doc2016     why railest thou on thy birth the heaven and earth?
Doc2017     since birth and heaven and earth all three do meet
Doc2018     in thee at once which thou at once wouldst lose
Doc2019     fie fie thou shamest thy shape thy love thy wit
Doc2020     which like a usurer aboundst in all
Doc2021     and usest none in that true use indeed
Doc2022     which should bedeck thy shape thy love thy wit
Doc2023     thy noble shape is but a form of wax
Doc2024     digressing from the valour of a man
Doc2025     thy dear love sworn but hollow perjury
Doc2026     killing that love which thou hast vowd to cherish
Doc2027     thy wit that ornament to shape and love
Doc2028     misshapen in the conduct of them both
Doc2029     like powder in a skilless soldiers flask
Doc2030     is get afire by thine own ignorance
Doc2031     and thou dismembred with thine own defence
Doc2032     what rouse thee man thy juliet is alive
Doc2033     for whose dear sake thou wast but lately dead
Doc2034     there art thou happy tybalt would kill thee
Doc2035     but thou slewest tybalt there art thou happy too
Doc2036     the law that threatned death becomes thy friend
Doc2037     and turns it to exile there art thou happy
Doc2038     a pack of blessings light upon thy back
Doc2039     happiness courts thee in her best array
Doc2040     but like a misbhavd and sullen wench
Doc2041     thou poutst upon thy fortune and thy love
Doc2042     take heed take heed for such die miserable
Doc2043     go get thee to thy love as was decreed
Doc2044     ascend her chamber hence and comfort her
Doc2045     but look thou stay not till the watch be set
Doc2046     for then thou canst not pass to mantua
Doc2047     where thou shalt live till we can find a time
Doc2048     to blaze your marriage reconcile your friends
Doc2049     beg pardon of the prince and call thee back
Doc2050     with twenty hundred thousand times more joy
Doc2051     than thou wentst forth in lamentation
Doc2052     go before nurse commend me to thy lady
Doc2053     and bid her hasten all the house to bed
Doc2054     which heavy sorrow makes them apt unto
Doc2055     romeo is coming
Doc2056   nurse o lord i could have stayd here all the night
Doc2057     to hear good counsel o what learning is
Doc2058     my lord ill tell my lady you will come
Doc2059   rom do so and bid my sweet prepare to chide
Doc2060   nurse here is a ring she bid me give you sir
Doc2061     hie you make haste for it grows very late           exit
Doc2062   rom how well my comfort is revivd by this
Doc2063   friar go hence good night and here stands all your state
Doc2064     either be gone before the watch be set
Doc2065     or by the break of day disguisd from hence
Doc2066     sojourn in mantua ill find out your man
Doc2067     and he shall signify from time to time
Doc2068     every good hap to you that chances here
Doc2069     give me thy hand tis late farewell good night
Doc2070   rom but that a joy past joy calls out on me
Doc2071     it were a grief so brief to part with thee
Doc2072     farewell
Doc2073                                                          exeunt
Doc2074 scene iv
Doc2075 capulets house
Doc2076 enter old capulet his wife and paris
Doc2077   cap things have falln out sir so unluckily
Doc2078     that we have had no time to move our daughter
Doc2079     look you she lovd her kinsman tybalt dearly
Doc2080     and so did i well we were born to die
Doc2081     tis very late shell not come down to night
Doc2082     i promise you but for your company
Doc2083     i would have been abed an hour ago
Doc2084   par these times of woe afford no tune to woo
Doc2085     madam good night commend me to your daughter
Doc2086   lady i will and know her mind early to morrow
Doc2087     to night shes mewd up to her heaviness
Doc2088   cap sir paris i will make a desperate tender
Doc2089     of my childs love i think she will be ruld
Doc2090     in all respects by me nay more i doubt it not
Doc2091     wife go you to her ere you go to bed
Doc2092     acquaint her here of my son paris love
Doc2093     and bid her (mark you me?) on wednesday next 
Doc2094     but soft what day is this?
Doc2095   par monday my lord
Doc2096   cap monday ha ha well wednesday is too soon
Doc2097     thursday let it be  a thursday tell her
Doc2098     she shall be married to this noble earl
Doc2099     will you be ready? do you like this haste?
Doc2100     well keep no great ado  a friend or two
Doc2101     for hark you tybalt being slain so late
Doc2102     it may be thought we held him carelessly
Doc2103     being our kinsman if we revel much
Doc2104     therefore well have some half a dozen friends
Doc2105     and there an end but what say you to thursday?
Doc2106   par my lord i would that thursday were to morrow
Doc2107   cap well get you gone a thursday be it then
Doc2108     go you to juliet ere you go to bed
Doc2109     prepare her wife against this wedding day
Doc2110     farewell my lord  light to my chamber ho
Doc2111     afore me it is so very very late
Doc2112     that we may call it early by and by
Doc2113     good night
Doc2114                                                           exeunt
Doc2115 scene v
Doc2116 capulets orchard
Doc2117 enter romeo and juliet aloft at the window
Doc2118   jul wilt thou be gone? it is not yet near day
Doc2119     it was the nightingale and not the lark
Doc2120     that piercd the fearful hollow of thine ear
Doc2121     nightly she sings on yond pomegranate tree
Doc2122     believe me love it was the nightingale
Doc2123   rom it was the lark the herald of the morn
Doc2124     no nightingale look love what envious streaks
Doc2125     do lace the severing clouds in yonder east
Doc2126     nights candles are burnt out and jocund day
Doc2127     stands tiptoe on the misty mountain tops
Doc2128     i must be gone and live or stay and die
Doc2129   jul yond light is not daylight i know it i
Doc2130     it is some meteor that the sun exhales
Doc2131     to be to thee this night a torchbearer
Doc2132     and light thee on the way to mantua
Doc2133     therefore stay yet thou needst not to be gone
